,Dispatch,HE
DUKE_CC1_2,468.0,23
EXN_EXN_G14,5.287,23
EXN_EXN_G2,1.045,23
FALCON_FALCONG3,6.4,23
FPPYD1_FPP_G1_J01,296.0,23
GOAT_GOATWIN2,77.0,23
GRSES_UNIT1,0.0,23
GRSES_UNIT2,0.0,23
HHGT_HHOLLOW1,230.0,23
HHGT_HHOLLOW3,241.4,23
HLSES_UNIT3,100.0,23
HRFDWIND_JRDWIND1,146.2,23
INDL_INADALE1,205.0,23
INDNENR_INDNENR_2,77.0,23
INGLCOSW_CC1_4,171.1,23
KING_NE_KINGNE,85.6,23
KING_SE_KINGSE,43.5,23
LOADSHED,0.0,23
LONEWOLF_G1,51.1,23
LONEWOLF_G2,52.7,23
LONEWOLF_G4,24.8,23
LV3_UNIT_1,200.0,23
MNSES_UNIT1,0.0,23
NWF_NWF1,93.0,23
OECCS_CC1_4,471.0,23
PANDA_T1_CC1_2,426.0,23
PB2SES_CT4,0.0,23
PC_NORTH_PANTHER1,142.5,23
PENA_UNIT1,160.8,23
PENA_UNIT2_J02,77.0,23
PH1_UNIT2,110.0,23
PSG_CC1_2,501.0,23
PYR_PYRON1,255.0,23
RIONOG_CC1_6,691.0,23
SCLPCOGN_SCLPC_2,52.886,23
SCLPCOGN_SCLPC_4,45.932,23
SHANNONW_UNIT_1,210.0,23
SPLAIN1_WIND2,105.0,23
SPLAIN2_WIND22,117.59,23
TEN_CC1_1,182.80000000000004,23
TGW_T1,142.0,23
TKWSW1_ROSCOE,215.0,23
AMOCOOIL_CC2_9,198.688,24
BASTEN_CC1_2,426.0,24
BBSES_UNIT1,0.0,24
BORDAS_JAVEL20,240.0,24
BRAZ_WND_WND2,70.0,24
BUFF_GAP_UNIT1,120.0,24
BULLCRK_WND1,89.0,24
BULLCRK_WND2,91.0,24
BYU_CC1_4,218.0,24
CEDROHIL_CHW1,80.0,24
CHE_CC1_7,301.0,24
CSEC_CSECG2,120.0,24
DDPEC_CC1_4,740.0,24
DNDAM_DENISOG1,40.0,24
DUKE_CC1_2,468.0,24
EXN_EXN_G14,6.838,24
EXN_EXN_G2,1.379,24
FALCON_FALCONG3,6.4,24
FPPYD1_FPP_G1_J01,296.0,24
GOAT_GOATWIN2,77.0,24
GRSES_UNIT1,0.0,24
GRSES_UNIT2,0.0,24
GUADG_CC1_2,172.0,24
HHGT_HHOLLOW1,230.0,24
HHGT_HHOLLOW3,241.4,24
HLSES_UNIT3,99.99000000000001,24
HRFDWIND_JRDWIND1,146.2,24
INDL_INADALE1,205.0,24
INDNENR_INDNENR_2,77.0,24
INGLCOSW_CC1_4,147.0,24
JCKCNTY2_CC1_1,175.40200000000002,24
KING_NE_KINGNE,85.6,24
KING_SE_KINGSE,43.5,24
LOADSHED,0.0,24
LONEWOLF_G1,51.1,24
LONEWOLF_G2,52.7,24
LONEWOLF_G4,24.8,24
LV3_UNIT_1,200.0,24
MNSES_UNIT1,0.0,24
NWF_NWF1,93.0,24
OECCS_CC1_4,318.0,24
PB2SES_CT4,0.0,24
PC_NORTH_PANTHER1,142.5,24
PENA_UNIT1,160.8,24
PENA_UNIT2_J02,77.0,24
PH1_UNIT2,110.0,24
PYR_PYRON1,255.0,24
RIONOG_CC1_6,619.999,24
SCLPCOGN_SCLPC_2,54.662,24
SCLPCOGN_SCLPC_4,47.361,24
SHANNONW_UNIT_1,210.0,24
SPLAIN1_WIND2,105.0,24
SPLAIN2_WIND22,116.59,24
TGW_T1,142.0,24
TKWSW1_ROSCOE,215.0,24
